WrWx_ID|Material|Plant|Manuf|Product Description|Manufacturer Material ID|Category|Product Type|Product Attributes
64682-CQ5-81200041|CQ5-81200041|0Q50|SKF|Bearing SKF SNL212|SNL 212 + 1212|Housing|SE and SNL plummer block housings for bearings with a cylindrical bore, with standard seals|Shaft diameter: 60.0 mm, Shaft diameter: 70.0 mm, Designation bearing: 1212 unit not found, Base width: 105.0 mm, Complete housing height: 134.0 mm, Spherical seat centre height: 70.0 mm, Overall length: 255.0 mm
21134-CQ4-BRNG1148|CQ4-BRNG1148|0Q40|SKF|Bearing SKF SNL3136|SNL 3136 ATURT|Housing|Large SNL plummer block housings for bearings on an adapter sleeve, with oil seals|Shaft diameter: 160.0 mm, Designation bearing: 23136 K unit not found, Base width: 235.0 mm, Complete housing height: 353.0 mm, Spherical seat centre height: 180.0 mm, Overall length: 530.0 mm
64322-CQ4-BRNG1147|CQ4-BRNG1147|0Q40|SKF|Bearing SKF SNL3152|SNL 3152 G + 22248|Housing|Large SNL plummer block housings for bearings with a cylindrical bore, with standard seals|Shaft diameter: 240.0 mm, Shaft diameter: 260.0 mm, Designation bearing: 22248 unit not found, Base width: 320.0 mm, Complete housing height: 516.0 mm, Spherical seat centre height: 260.0 mm, Overall length: 770.0 mm
60550-PN5-1001392|PN5-1001392|0N50|SKF|Bearing SKF SNL518615|SNL 518-615 + 23218|Housing|SE and SNL plummer block housings for bearings with a cylindrical bore, with standard seals|Shaft diameter: 90.0 mm, Shaft diameter: 100.0 mm, Designation bearing: 23218 unit not found, Base width: 140.0 mm, Complete housing height: 194.0 mm, Spherical seat centre height: 100.0 mm, Overall length: 345.0 mm
131-CCA-1030961|CCA-1030961|0K90|SKF|Bearing SKF SY23|SY 2.3/16 TF/VA228|Unit|Plummer block ball bearing units, for high temperature applications|Shaft diameter: 55.563 mm, Base width: 60.0 mm, Overall height: 126.0 mm, Spherical seat centre height: 63.5 mm, Overall width: 219.0 mm
14679-CCA-1530772|CCA-1530772|0K90|SKF|Bearing SKF SY25TF|SY 25 TF|Unit|Ball bearing plummer block units|Bore diameter: 25.0 mm, Base width: 36.0 mm, Overall height: 70.0 mm, Height of spherical seat centre: 36.5 mm, Overall length: 130.0 mm
22575-CJL-10005529|CJL-10005529|0RU0|SKF|Bearing SKF SYNT60F|SYNT 60 F|Unit|Roller bearing plummer block units, for metric shafts|Shaft diameter: 60.0 mm, Housing foot width: 80.0 mm, Housing height: 151.0 mm, Height base to center: 80.0 mm, Housing length: 275.0 mm
66646-PFO-10007449|PFO-10007449|0QH0|SKF|Bearing SKF TU25TF|TU 25 TF|Unit|Ball bearing take-up units|Bore diameter: 25.0 mm, Overall width: 34.0 mm, Overall height: 91.0 mm, Distance between bottoms of location slot: 76.0 mm, Overall length: 100.0 mm
16153-CQ4-BRNG1238|CQ4-BRNG1238|0Q40|SKF|Bearing SKF TU510M|TU 510 M|Housing|Take-up housings for insert bearings|Diameter of spherical seat: 90.0 mm, Overall width: 49.0 mm, Overall height: 117.0 mm, Distance between bottoms of location slot: 101.0 mm, Overall length: 149.0 mm
47604-CJL-7704719A|CJL-7704719A|0GF0|SKF|Bearing SKF TUJ60|TUJ 60 TF|Unit|Ball bearing take-up units|Bore diameter: 60.0 mm, Overall width: 60.0 mm, Overall height: 146.0 mm, Distance between bottoms of location slot: 130.0 mm, Overall length: 186.0 mm
15674-CND-52533065|CND-52533065|0ND0|SKF|Bearing SKF UC206|UC206|Bearing|Insert bearings|
402-CJL-93001064|CJL-93001064|0K50|SKF|Bearing SKF WS81106|WS 81106|Accesory|Bearing washers for cylindrical and needle roller thrust bearings|Bore/shaft diameter: 30.0 mm, Width: 3.0 mm, Outside diameter shaft washer: 47.0 mm
19839-PLP-00001744|PLP-00001744|0LP0|SKF|Bearing SKF YAR203|YAR 203/15-2F|Bearing|Insert bearings|Bore diameter: 15.0 mm, Outside diameter: 40.0 mm, Width inner ring: 27.4 mm, Basic dynamic load rating: 9.56 kN, Basic static load rating: 4.75 kN
11610-CSA-13050547|CSA-13050547|0D80|SKF|Bearing SKF YAR207-107-2F|YAR 207-107-2FW/VA228|Bearing|Y-bearings, with grub screws, for high temperature applications|Bore diameter: 36.513 mm, Outside diameter: 72.0 mm, Width inner ring: 42.9 mm, Width outer ring: 19.0 mm, Basic dynamic load rating: 25.5 kN, Basic static load rating: 15.3 kN
71901-PRX-BELT078|PRX-BELT078|0RX0|SKF|Bearing SKF YAR2072F|YAR 207-2F|Bearing|Insert bearings|Bore diameter: 35.0 mm, Outside diameter: 72.0 mm, Width inner ring: 42.9 mm, Basic dynamic load rating: 25.5 kN, Basic static load rating: 15.3 kN
7629-PKJ-P2288|PKJ-P2288|0KJ0|SKF|Bearing SKF Z206|Z 206|Accessory|Sealing washers|Bore diameter: 30.0 mm, Housing bore diameter: 62.0 mm, Width: 6.0 mm, Thickness material (housing) washer: 1.5 mm
